Shipment_ID,Order_Date,Region,City,Delivery_Partner,Shipping_Mode,Delivery_Time_Days,Order_Value,Delivery_Status,Customer_Rating
900000,05-09-2022,North,Ahmedabad,Ecom Express,Standard,8,171575.41,Delivered,4
900001,29-03-2023,West,Ahmedabad,BlueDart,Standard,10,8628.1,Delayed,3
900002,23-03-2022,South,Hyderabad,BlueDart,Standard,12,161353.25,Cancelled,3
900003,25-01-2024,West,Hyderabad,Ecom Express,Standard,14,57509.48,Delayed,2
900004,11-11-2023,South,Mumbai,Ecom Express,Standard,14,154628.04,Delivered,1
900005,24-11-2022,North,Pune,BlueDart,Standard,14,26081.56,Delayed,4
900006,14-01-2024,West,Kolkata,nan,Standard,6,60491.69,Delivered,5
900007,23-02-2024,nan,Pune,BlueDart,Express,14,145806.18,Delayed,1
900008,02-09-2023,South,Bengaluru,BlueDart,Express,6,32155.33,Delivered,2
900009,08-07-2021,North,Kolkata,Ecom Express,Express,7,145025.32,Delivered,5
900010,14-05-2022,nan,nan,Delhivery,Standard,11,29942.59,Delivered,2
900011,05-04-2023,East,Bengaluru,Amazon Logistics,Standard,6,12386.21,Delivered,4
900012,25-07-2021,South,Bengaluru,Delhivery,Same-Day,9,110904.36,Delivered,3
900013,04-06-2022,Central,Mumbai,BlueDart,Same-Day,14,158521.12,Delivered,4
900014,30-11-2022,nan,Pune,Amazon Logistics,Express,8,92835.24,Delivered,5
900015,18-04-2023,South,Kolkata,Amazon Logistics,Express,14,181232.87,Delayed,3
900016,17-05-2022,nan,Bengaluru,Ecom Express,Same-Day,5,104314.73,Delivered,3
900017,08-09-2023,North,Pune,BlueDart,Express,13,34266.21,Delivered,3
900018,05-09-2022,South,Ahmedabad,Amazon Logistics,Standard,1,169497.89,Delayed,3
900019,28-01-2023,South,Kolkata,Ecom Express,Express,6,59718.66,Delayed,2
900020,15-03-2023,North,Mumbai,XpressBees,Express,5,134320.1,Delivered,1
900021,08-12-2023,North,Hyderabad,nan,Express,13,14705.14,Delayed,4
900022,24-01-2024,North,Delhi,Delhivery,Standard,9,118503.62,Delivered,3
